code,name,subject_category_id,created_at,updated_at,sort_order,deleted_at
0101,哲学,1,2026-04-18 00:09:21,2026-04-18 00:09:21,1,
0201,理论经济学,2,2026-04-18 00:09:21,2026-04-18 00:09:21,2,
0202,应用经济学,2,2026-04-18 00:09:21,2026-04-18 00:09:21,3,
0270,统计学,2,2026-04-18 00:09:21,2026-04-18 00:09:21,4,
0301,法学,3,2026-04-18 00:09:21,2026-04-18 00:09:21,5,
0302,政治学,3,2026-04-18 00:09:21,2026-04-18 00:09:21,6,
0303,社会学,3,2026-04-18 00:09:21,2026-04-18 00:09:21,7,
0304,民族学,3,2026-04-18 00:09:21,2026-04-18 00:09:21,8,
0305,马克思主义理论,3,2026-04-18 00:09:21,2026-04-18 00:09:21,9,
0306,公安学,3,2026-04-18 00:09:21,2026-04-18 00:09:21,10,
0307,中共党史党建学,3,2026-04-18 00:09:21,2026-04-18 00:09:21,11,
0401,教育学,4,2026-04-18 00:09:21,2026-04-18 00:09:21,12,
0402,心理学,4,2026-04-18 00:09:21,2026-04-18 00:09:21,13,
0403,体育学,4,2026-04-18 00:09:21,2026-04-18 00:09:21,14,
0501,中国语言文学,5,2026-04-18 00:09:21,2026-04-18 00:09:21,15,
0502,外国语言文学,5,2026-04-18 00:09:21,2026-04-18 00:09:21,16,
0503,新闻传播学,5,2026-04-18 00:09:21,2026-04-18 00:09:21,17,
0601,考古学,6,2026-04-18 00:09:21,2026-04-18 00:09:21,18,
0602,中国史,6,2026-04-18 00:09:21,2026-04-18 00:09:21,19,
0603,世界史,6,2026-04-18 00:09:21,2026-04-18 00:09:21,20,
0701,数学,7,2026-04-18 00:09:21,2026-04-18 00:09:21,21,
0702,物理学,7,2026-04-18 00:09:21,2026-04-18 00:09:21,22,
0703,化学,7,2026-04-18 00:09:21,2026-04-18 00:09:21,23,
0704,天文学,7,2026-04-18 00:09:21,2026-04-18 00:09:21,24,
0705,地理学,7,2026-04-18 00:09:21,2026-04-18 00:09:21,25,
0706,大气科学,7,2026-04-18 00:09:21,2026-04-18 00:09:21,26,
0707,海洋科学,7,2026-04-18 00:09:21,2026-04-18 00:09:21,27,
0708,地球物理学,7,2026-04-18 00:09:21,2026-04-18 00:09:21,28,
0709,地质学,7,2026-04-18 00:09:21,2026-04-18 00:09:21,29,
0710,生物学,7,2026-04-18 00:09:21,2026-04-18 00:09:21,30,
0711,系统科学,7,2026-04-18 00:09:21,2026-04-18 00:09:21,31,
0712,科学技术史,7,2026-04-18 00:09:21,2026-04-18 00:09:21,32,
0713,生态学,7,2026-04-18 00:09:21,2026-04-18 00:09:21,33,
0714,统计学,7,2026-04-18 00:09:21,2026-04-18 00:09:21,34,
