name,code,province,city,type,belong,website,level,logo,longitude,latitude,status,created_at,updated_at,deleted_at
山东大学,10422,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
华东师范大学,10269,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
中国计量大学,10356,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
四川大学,10610,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
长春师范大学,10205,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
吉林艺术学院,10209,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
云南农业大学,10676,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
江苏科技大学,10289,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
江西农业大学,10410,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
南京理工大学,10288,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
暨南大学,10559,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
北华大学,10201,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
中国农业大学,10019,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
西安石油大学,10705,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
浙江农林大学,10341,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
上海外国语大学,10271,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
南京审计大学,11287,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
辽宁石油化工大学,10148,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
西藏农牧学院,10693,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
陆军炮兵防空兵学院,91007,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
中国科学技术大学,10358,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
福建医科大学,10392,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
太原科技大学,10109,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
桂林电子科技大学,10595,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
江苏大学,10299,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
河南师范大学,10476,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
云南中医药大学,10680,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
湖南中医药大学,10541,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
天津商业大学,10069,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
大连外国语大学,10172,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
华中光电技术研究所,86216,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
山西中医药大学,10809,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
鲁东大学,10451,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
广东海洋大学,10566,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
四川省社会科学院,89101,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
中南财经政法大学,10520,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
华北水利水电大学,10078,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
北京第二外国语学院,10031,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
解放军医学院,91102,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
山东师范大学,10445,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
空军军医大学,91030,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
复旦大学,10246,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
上海对外经贸大学,10273,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
南京医科大学,10312,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
西北大学,10697,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
山西大学,10108,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
渤海大学,10167,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
太原理工大学,10112,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
哈尔滨商业大学,10240,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
河南中医药大学,10471,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
宁夏大学,10749,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
哈尔滨师范大学,10231,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
北京交通大学,10004,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
杭州电子科技大学,10336,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
华中科技大学,10487,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
吉林建筑大学,10191,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
江苏师范大学,10320,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
中山大学,10558,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
湖北美术学院,10523,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
天津工业大学,10058,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
扬州大学,11117,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
兰州交通大学,10732,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
山西财经大学,10125,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
天津大学,10056,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
河南工业大学,10463,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
陕西科技大学,10708,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
武汉大学,10486,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
三亚学院,13892,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
首都医科大学,10025,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
云南大学,10673,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
烟台大学,11066,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
华北理工大学,10081,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
南京大学,10284,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
河南理工大学,10460,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
华中农业大学,10504,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
河南科技大学,10464,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
江西中医药大学,10412,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
兰州大学,10730,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
西北政法大学,10726,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
武汉音乐学院,11524,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
